id,title,company,location,posted,applicants,level,type,functions,industries,key_words,misspelled_words
1779339415,Data Scientist - NLP & Computer Vision,Altran,"Covibar Madrid, Community of Madrid, Spain",14.0,81 , Associate , Contract , Engineering Information Technology , Information Technology and Services,python r sql aws,www analytics pyspark tessella gym-pass altran's altran
1756498983,Senior Data Scientist,Tecnatom,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,123 , Associate , Full-time , Project Management , Mechanical or Industrial Engineering,python sql aws keras docker mining mongo,valorará exploratory naive modelización kubernetes kaggle analysis svm k-means matplotlib data-driven js multidisciplinar advanced demostrable learning scikit numpy analytics s3 expertise jupyter “ clustering d3 tecnatom nlp · cleaning ec2 documents datathon git descriptivos integre nlpbuen ” … estocásticos bayes predictivos repositorios scientist relacionales bbdd tensor prescriptivos
1816489508,Data Analyst,Amazon,"San Sebastián de los Reyes, Community of Madrid, Spain",1.0,58 , Not Applicable , Full-time , Strategy/Planning Analyst Information Technology , Computer Software Information Technology and Services Internet,python r tableau spark hive sql hadoop aws etl,quicksight a952892 dashboards ’ revolutionizing emr analytics sarl “ ”
1764741686,Arquitecto Big Data,KPMG,"Madrid, Community of Madrid, Spain",21.0,52 , Mid-Senior level , Full-time , Consulting , Accounting,python r scala spark sql hadoop aws java azure cloudera agile,learning mapr hortonworks metodologías analíticas analytics kpmg tipología ¡ … frameworks
1814828331,Data Analyst,Teva Pharmaceuticals,"San Sebastián de los Reyes, Community of Madrid, Spain",2.0,30 , Entry level , Full-time , Information Technology ," Health, Wellness and Fitness Biotechnology Pharmaceuticals",sql kpi mining,@teva we've ’ – world's saseducation teva's teva patient-centric …
1808561387,Data Analyst,Teva Pharmaceuticals,"San Sebastián de los Reyes, Community of Madrid, Spain",2.0,30 , Entry level , Full-time , Information Technology ," Health, Wellness and Fitness Biotechnology Pharmaceuticals",sql kpi mining,@teva we've ’ – world's saseducation teva's teva patient-centric …
1783006846,Data Scientist,Walters People,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Entry level , Full-time , Engineering Information Technology , Marketing and Advertising Information Technology and Services Human Resources,python r java,learning bbddserá predictivos scientist @walterspeople ¡
1793594820,Senior Data Scientist,EVO Banco,"Madrid, Community of Madrid, Spain",21.0,169 , Associate , Full-time , Analyst Engineering Finance , Banking,python spark sql tensorflow,caffe learning validaciones gitlab supervised nlp • prototipado motivante relacionales analíticos github ¡ unsupervised frameworks cuantitativo
1715476074,Arquitecto Big Data,BABEL,"Madrid, Community of Madrid, Spain",7.0,50 , Mid-Senior level , Full-time , Engineering Information Technology , Information Technology and Services,aws azure,valorará fomentamos integraciones spotify stratio centric ¡
1817032310,DATA SCIENCE,Antal International,"Covibar Madrid, Community of Madrid, Spain",4.0,49 , Entry level , Full-time , Engineering Information Technology , Information Technology and Services Staffing and Recruiting Human Resources,python r tableau,matlab dashboards kpis sciencethe requirementsthe microstrategy roleyou projectour
1812750575,Data Scientist (Customer Interaction Tribe),ING,"San Sebastián de los Reyes, Community of Madrid, Spain",21.0,0, Entry level , Full-time , Information Technology , Information Technology and Services Banking Financial Services,python spark hive sql hadoop mining,runnersclub andtransparency forpineapple ourway youand ourclients buildinganalytic paddletennis clinicswith completelyfree makingthings suchas waywe ’ thatthinking ofmore andalthough delightedto econometricsor togetherwith ofwomen weknow differentperspective physiotherapyservice yourtechnical wewere agilemethodologies yourcravings thetools — besttaste livesof towork goeson specialloan andbenefit … rozas datato takeyou doesn coveruse thefield torepeat intoday visualizationtools includingpreprocessing
1760224420,Data Science,Experis España,"Madrid, Community of Madrid, Spain",14.0,0, Mid-Senior level , Full-time , Information Technology , Information Technology and Services,python spark cloud,valorable unix aportada certificaciones rozas
1820266187,Smartme Analytics: Data scientist/científico de datos - madrid,Smartme Analytics,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Entry level , Full-time , Engineering Information Technology , Marketing and Advertising Information Technology and Services Internet,,scientist
1734623656,Data Scientist,e-Frontiers Ltd,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,113 , Entry level , Full-time , Science , Airlines/Aviation,python r impala spark hive sql hadoop aws java cloud,hdfs
1819420835,Data Analyst,Cigna,"San Sebastián de los Reyes, Community of Madrid, Spain",7.0,0, Entry level , Full-time , Information Technology , Insurance Financial Services Hospital & Health Care,tableau sql cloud agile kpi,rdbmsexposure non-structured ’ cigna action-plan multi-technology dashboards – qlikview analytics seeyourself @cigna customer-specific onboarding cross-functional patient-centered instagram touchpoints
1820807100,Data Analyst,ES3,"San Sebastián de los Reyes, Community of Madrid, Spain",7.0,0, Entry level , Full-time , Information Technology , Human Resources,tableau sql cloud agile kpi,rdbmsexposure non-structured ’ cigna action-plan multi-technology dashboards – qlikview analytics seeyourself @cigna customer-specific onboarding cross-functional patient-centered instagram touchpoints
1785055076,Senior Data Scientist (AWS),Keepler Data Tech,Greater Madrid Metropolitan Area,21.0,76 , Mid-Senior level , Full-time , Engineering Information Technology General Business , Information Technology and Services,python aws cloud azure scrum,60k b2 c1 kanban xtreme http ﻿ learning investen complementarlo programming 40k ivuq 10k aporten colaborativa … cracks fosteruna one-to-one keepler metodologías teletrabajo 2rl scientist certificaciones rmanejo
1787912084,DATA SCIENTIST,SEBASTIÁN CONSULTORES,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,42 , Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Human Resources,python r sql mining,30/9 learning externalización 00/18 cuantitativa retail – metodologías scientist demostrable
1782097056,Business Data Analyst,Logista,"Leganés, Community of Madrid, Spain",28.0,0, Associate , Full-time , Distribution Marketing , Logistics and Supply Chain,,regionalities analytics
1768494778,"Data  Engineer (ETL, Data Analyst and Visualization)",DBi Data Business Intelligence ,"Madrid, Community of Madrid, Spain",21.0,191 , Associate , Full-time , Advertising Marketing , Marketing and Advertising Computer Software,python r tableau hive sql apis cloud etl scrum,visualizaciones equal competencies identity discriminate origin operations dbi disability havas analytics commitments gender employer @havasmg postgre opportunities query automatizados emplearán welcomes engineer php git volcados applications dcm linked accordance mysql orientation computing relacionales grounds dbm
1596615973,Data Analyst,Nexthink,"Madrid, Community of Madrid, Spain",2.0,0, Mid-Senior level , Full-time , Customer Service , Information Technology and Services Computer Software,python r sql,inclusivity nexthink ’ – o365 data-set remediations mathlab analytics 3-5 sdms nexthinkers linux xml
1812761383,Consultor Power Center- Big Data,EULEN Flexiplán,"Madrid, Community of Madrid, Spain",7.0,0, Associate , Full-time , Information Technology , Human Resources,etl,﻿ flexiplan proactividad destacables eulen fp control-m ofrecidas boadilla
1805767802,Senior Manager (SVP) of Data Science & Analytics,Quotacom,"Madrid, Community of Madrid, Spain",7.0,92 , Executive , Full-time , Information Technology Consulting , Information Technology and Services Management Consulting,,blockchain ’ privacy-notice · analytics www ideation quotacom elite-level
1792790683,Big Data Analyst,satec,"Madrid, Community of Madrid, Spain",21.0,46 , Mid-Senior level , Full-time , Information Technology Analyst Design , Information Technology and Services,python spark hive sql neo hadoop java sqoop etl cloudera no-sql mongo,javascript satec metadata pentaho hbase hortonworks hdfs py top-tier microservice-oriented client-oriented talend nifi postgre nrt linux flink flume solr j2ee 4j –
1666948421,Consultor Tecnológico Junior,Minsait,"Madrid, Community of Madrid, Spain",21.0,0, Entry level , Full-time , Information Technology , Information Technology and Services,cloud,vinculando imaging licenciar digitalización analytics arquitecturas customer scientist cities grid … optimización
1772020614,Consultor Big Data,M&​GT Consulting,Greater Madrid Metropolitan Area,7.0,62 , Mid-Senior level , Full-time , Information Technology , Information Technology and Services,spark hive sql kafka cloud,aportada losobjetivos regulatorio ytratamiento destacables desarrollodel dss delcliente hdfs esresponsable microservicios
1813087491,BIG DATA DEVELOPER  ,Datio Big Data,"Pozuelo de Alarcón, Community of Madrid, Spain",3.0,48 , Associate , Full-time , Engineering Information Technology , Information Technology and Services,python scala spark kafka hadoop java docker,csv virtualización akkaformatos ping-pong jdbc teletrabajo intellij maven jupyter imprescidible cucumber conexiónes git certificaciones avro ¡ frameworks bbva
1801634524,Big Data Engineer,ING España&Portugal,"Madrid, Community of Madrid, Spain",14.0,172 , Associate , Full-time , Analyst Information Technology , Banking Financial Services Internet,python hadoop etl agile,learning metodologías planning pipelines json engineer pádel arquitecturas microservicio clinics ¡ … rozas microservicios
1820265723,Empléate con Talento: Big data developer,Empléate con Talento,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Entry level , Full-time , Engineering Information Technology , Human Resources Management Consulting International Trade and Development,,
1797117743,Cloud Data Scientist - Banking,Apollo Solutions,"San Sebastián de los Reyes, Community of Madrid, Spain",21.0,0, Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Financial Services,python r sql aws java cloud,you'll emr world's www apollo-solutions https
1812956709,Profesionales Big Data,ConsulSAP,"San Sebastián de los Reyes, Community of Madrid, Spain",14.0,0, Entry level , Full-time , Information Technology , Information Technology and Services Computer Software Human Resources,,valorable ofertante
1822220382,InnoIT: Senior data scientist,InnoIT Pty. Ltd.,"San Sebastián de los Reyes, Community of Madrid, Spain",21.0,0, Associate , Full-time , Other , Information Technology and Services Computer Software Internet,etl,we're
1820318676,TEMPOTEL ETT: Data analyst junior,Tempotel,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Associate , Full-time , Information Technology , Marketing and Advertising Telecommunications Human Resources,,€ 27/02 tempotel
1780317497,Digital Marketing Data Analyst,OCU,"Madrid, Community of Madrid, Spain",28.0,0, Associate , Full-time , Marketing Analyst , Civic & Social Organization,tableau,hotjar adserver analytics google monetization efr seo work-life …
1817572532,Full time Internship Data Scientist-Client Services,IQVIA Spain,"Madrid, Community of Madrid, Spain",4.0,98 , Mid-Senior level , Full-time , Management Project Management , Hospital & Health Care Pharmaceuticals,python r qlik tableau sql,​ bio-statistics ´ client's iqvia programing
1816293851,RESPONSABLE DE PROYECTO  BIG DATA (Conocimientos de Host). Zona Arturo Soria.,duonet,Greater Madrid Metropolitan Area,5.0,0, Mid-Senior level , Full-time , Business Development Information Technology , Program Development,scala spark,integrador soria postimplantación contol-m teletrabajo evoluciones queries aprovisionará jcl
1530613115,Big Data Engineer,ADEREN,"Madrid, Community of Madrid, Spain",21.0,171 , Associate , Full-time , Information Technology Analyst , Information Technology and Services,scala impala spark hive sql kafka hadoop java etl cloudera,eur formaautomatizada jira engineer flume git 220-280 recurrencia deprocesos unix scripting confluence aportada scripts depurar biofrecemos relacionales interfaces delecosistema
1811516779,Data Scientist Internship in Energy Efficency Department,ENGIE,"San Sebastián de los Reyes, Community of Madrid, Spain",5.0,74 , Internship , Full-time , Engineering Information Technology , Construction Mechanical or Industrial Engineering Human Resources,,projects engie ¡ retadores organization feb engineering retadora posting location madrid-madrid remuneradas schedule primary consumos multivariantes full-time europe-spain-comunidad
1712815769,Big Data Architect,everis,"Madrid, Community of Madrid, Spain",14.0,48 , Mid-Senior level , Full-time , Consulting , Management Consulting,scala spark sql java agile,everis valorará batch metodologías conceptualizando teletrabajo analytics multidisciplinares engineer streaming ntt formativo modularidad frameworks
1819399165,"Senior Data Analyst, Madrid",Farmacias Trebol,"Madrid, Community of Madrid, Spain",3.0,0, Associate , Full-time , Information Technology , Information Technology and Services Computer Software Human Resources,sql b2b b2c agile kpi,´ valorará bise ingenierías retributivo ad-hoc analyst
1820265423,"Senior Data Analyst, Madrid",Farmacias Trebol,"Madrid, Community of Madrid, Spain",3.0,0, Associate , Full-time , Information Technology , Information Technology and Services Computer Software Human Resources,sql b2b b2c agile kpi,´ valorará bise ingenierías retributivo ad-hoc analyst
1822217003,Slashmobility.com: Data scientist,SlashMobility,"San Sebastián de los Reyes, Community of Madrid, Spain",0.5,0, Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Staffing and Recruiting,,scientist
1809968607,Data Scientist en Madrid,Telefonica,"San Sebastián de los Reyes, Community of Madrid, Spain",7.0,38 , Entry level , Full-time , Engineering Information Technology , Information Technology and Services Telecommunications Human Resources,python qlik tableau scala spark hive aws java gcp cloud azure b2b b2c scrum keras sklearn,engineering vertientes inclusivos technology regresion matplotlib py js multilabel movistar compliance learning xglb multiclass numpy ideación “ innovation ciberseguridad promovemos clustering mathematics d3 2-3 prototipado fss subproyectos r-project xgboost stem gdpr okrs clasificacion ” librerias involucrándote factibles nldr mllib sparkling analíticos pro-actividad
1793234433,TECNICO DE SOPORTE DE APLICACIONES BIG DATA (Inglés alto),Ciber Spain,"Madrid, Community of Madrid, Spain",3.0,0, Associate , Full-time , Information Technology Analyst , Information Technology and Services,scala impala hive hadoop,valorable experis c1 microinformática mantenimientos user hackatones experiencie provenientos boadilla aplicativos rotativos certificaciones interfaces sap multidisciplinar
1737039893,ES - Consultor de Big Data,Devoteam,"Covibar Madrid, Community of Madrid, Spain",7.0,0, Associate , Full-time , Other , Information Technology and Services Computer Software Human Resources,r qlik tableau impala spark hive aws cloud azure cloudera crm docker,haddop itsm bdm kubernetes js nosql settlement analytics node salesforce microstrategy erp mdm automatizacion phyton git bootstrap devops sap devoteam bmc idq limits visualization react governance computing bce tensor pwc
1801619936,Técnico de soporte de aplicaciones Big Data,Experis,"Madrid, Community of Madrid, Spain",14.0,0, Associate , Full-time , Information Technology , Banking,scala impala hive hadoop,valorable c1 mantenimientos apps rotativos aplicativos microinformática interfaces
1794130353,Arquitecto Azure - Big Data,UST Global Germany,"Madrid, Community of Madrid, Spain",3.0,0, Mid-Senior level , Full-time , Information Technology , Information Technology and Services,hadoop azure,priorizacion temparanos referenciar end-to-end servicois multidisciplinar adls modalidades analytics employer datbricks ¡ consolidada ust · saa ampliarte iaa storage laborables incorporen datalake
1812963459,"Administrador Big Data, Madrid",SEREM Consultoría Empresarial,"San Sebastián de los Reyes, Community of Madrid, Spain",14.0,0, Associate , Full-time , Information Technology , Information Technology and Services Computer Software Management Consulting,impala spark hive hadoop cloud cloudera,serem helpdesk consulting j2ee bpo apps outsourcing
1792663933,Data Analyst A Coruña,Kabel,"San Sebastián de los Reyes, Community of Madrid, Spain",21.0,0, Entry level , Full-time , Information Technology , Information Technology and Services Computer Software Internet,tableau,valorará retail on-line impacten integration implicarán microstrategy analyst interlocución formaras proactivas e-commerce sap … kabel apply teletrabajo qlikview incorporas elevarán
1807162840,"Recien Titulados en Carreras Técnicas interesados en Trabajar como QA, Java Microservicios o Data Analyst",StratioBD,"Madrid, Community of Madrid, Spain",7.0,98 , Entry level , Full-time , Engineering Information Technology , Computer Software,java,valorará punteras titulados stratio qa analyst microservicios
1776819643,Cloud operations Senior Engineer (Big Data),ERNI,Greater Madrid Metropolitan Area,14.0,0, Mid-Senior level , Full-time , Consulting Information Technology , Information Technology and Services Internet Computer Software,r sql cloud azure agile,atocha anual udemy dwh https microsoft's pluralsight www du4 lindt etls youtube erni certifications 10s databricks modeling
1804039236,ADMINISTRADOR DE SISTEMAS BDM - BIG DATA MANAGEMENT,Ibermática,"Madrid, Community of Madrid, Spain",14.0,0, Associate , Full-time , Information Technology , Information Technology and Services Computer Software Human Resources,spark hadoop cloudera,gestion ambari escalabilidad clústeres appliance
1802636295,Applied Scientist,Amazon,"San Sebastián de los Reyes, Community of Madrid, Spain",14.0,29 , Not Applicable , Full-time , Research Science Engineering , Computer Software Information Technology and Services Internet,python java,you'll ’ a998847 amazon's customer-centric industry-leading cutting-edge euidq
1820624340,"BIG DATA ARCHITECT in MADRID, SPAIN (m/f)",GT Linkers,"San Sebastián de los Reyes, Community of Madrid, Spain",1.0,0, Associate , Full-time , Business Development Sales , Information Technology and Services Computer Software Internet,python r scala spark hive sql hadoop aws java azure etl cloudera agile docker mongo,junit hortonworks tele-working roadmaps logstash gtlinkers ’ mapr high-potential analytics “ elasticsearch 2-3 3-7 hdp day-a-week flume highly-disruptive results-oriented … kibana facebook ´ non-top www casanueva top-performance website contextualization
1781375185,Big Data (Stream Processing) - Madrid,IT Partner España,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Entry level , Full-time , Information Technology , Computer Software Law Practice Legal Services,python scala spark kafka,ingestas contrastada apply – ma-python especificando processing 15/1999 flume còdigo 2020-026-
1774312663,Data&AI Cloud Solution Architect,Microsoft,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Not Applicable , Full-time , Engineering Information Technology , Computer Hardware Computer Software Information Technology and Services,python tableau spark sql hadoop cloud azure cloudera mongo,sqlno roadmaps enterprise-scale maintainability hdinsight http ’ mission-culture analytics postgre en-us insatiably bachelor's mvps reusability https www dbbig customer-first customer-facing databricks
1822265387,Data Scientist Senior Remoto,Open Sistemas,"San Sebastián de los Reyes, Community of Madrid, Spain",0.4583333333333333,0, Associate , Full-time , Other , Information Technology and Services Telecommunications Human Resources,python tensorflow keras,telco retribucin learning pozuelo certificacin guardera rboles formacin mnima teletrabajo aos libreras compaa salariales scientist mdico decisin multidisciplinar
1822376237,Beca Sistemas Big data,CEDIANT,"Madrid, Community of Madrid, Spain",28.0,0, Entry level , Full-time , Information Technology , Information Technology and Services Computer Software Financial Services,cloud,scripting metodologías keedio disruptivas arquitecturas computing cediant
1803072961,DATA SCIENCE R Y PHYTON H/M,Gfi España,"Covibar Madrid, Community of Madrid, Spain",14.0,129 , Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Human Resources,r,gfi utilities analytics www avalan phyton proforma euronext outsourcing
1822291988,docente analista big data y cientfico de datos,Lider System Grupo - Formación y Consultoría,"Getafe, Community of Madrid, Spain",0.4166666666666667,0, Entry level , Full-time , Education Training , Civil Engineering Staffing and Recruiting Human Resources,,certificacin professional provent emc cientfico imparticin
1822368752,Practicas en Big Data and CRM,Panda Security,"San Sebastián de los Reyes, Community of Madrid, Spain",0.375,0, Entry level , Full-time , Other , Information Technology and Services Computer Software Human Resources,sql java cloud crm,mathemathics develope bigdata dashboards rdquo internship analytics google datastudio ldquo practicas convenio html rsquo xml
1762076175,Data Science Director (Bangkok based),Agoda,"San Sebastián de los Reyes, Community of Madrid, Spain",7.0,0, Director , Full-time , Information Technology , Internet,,sanfrancisco sandiego cross-functionally losangeles ’ sanjose “ hyper-focused well-tuned agoda orlanda sensorial tradeoffs newyork e-commerce 100ms ” https … careersatagoda modeling entrepreneurialism priceline privacy-statement aren geeks
1723494932,Digital Data Analyst (Customer),JTI (Japan Tobacco International),"Covibar Madrid, Community of Madrid, Spain",14.0,104 , Associate , Full-time , Information Technology , Consumer Goods Food & Beverages Tobacco,b2b b2c crm mining,clickstream dataiku ’ energizing synthetize mevius www analytics geo-analytics centricity self-starter jti master's e-cigarette ploom proficiently ecom
1798457825,Data Science Project Manager,Unlimiteck | Open Innovation,"Covibar Madrid, Community of Madrid, Spain",21.0,0, Entry level , Full-time , Project Management Information Technology , Marketing and Advertising Computer Software Internet,python sql keras mongo,ttítulos learning dashboards redis predictivos proactividad reinforcement funcionalidades metiora testeo tconocimientos clickhouse relacionales escalabilidad ¡
1812750573,Finance Data Analyst,ING,"San Sebastián de los Reyes, Community of Madrid, Spain",7.0,102 , Entry level , Full-time , Information Technology , Information Technology and Services Banking Financial Services,sql agile,flexibleschedule otherdata kpis andoff itdoesn onethousand andfollow-up freecompany financialinformation ttake toget asthey ’ ofthat aboutit businessareas lifeand thechanges processand withus createa tobe knowthis bachelor's processesacross alsomirrors dwh internationalteams — payand whatdo freemeals bankingbenefits workingat workflows appropriatemanner … ifyou rozas andchildren morehealth whatare beingand outsidethe analysisof firstbanks andprocessing implementationof doesn basedin ofclients
1794162920,Big Data project manager,jobleads.com - Careers for Senior-Level Professionals,"San Sebastián de los Reyes, Community of Madrid, Spain",7.0,0, Entry level , Full-time , Project Management Information Technology , Marketing and Advertising Internet Staffing and Recruiting,,analíticas
1794444695,Big Data Technical Lead,Solera Global Data & Content,"Madrid, Community of Madrid, Spain",14.0,0, Mid-Senior level , Full-time , Engineering Information Technology , Computer Software,agile,﻿ 1-3 solera ’ jira analytics • 3-5 pmo
1820268214,IT Partner: Big data (stream processing) (madrid),IT PARTNER bvba,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Entry level , Full-time , Information Technology , Information Technology and Services Computer Software Human Resources,,processing –
1822374683,Desarrollador H M Big Data,Empléate con Talento,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,0, Entry level , Full-time , Engineering Information Technology , Human Resources Management Consulting International Trade and Development,scala spark hadoop java cloudera,definirán py complementarias
1778470126,Senior Big Data QA Engineer,TrustYou,"Madrid, Community of Madrid, Spain",28.0,0, Mid-Senior level , Full-time , Information Technology , Hospitality,python scala impala spark hive sql kafka hadoop aws java agile docker,tdd iaa pair-programming mesos flink ’ domain-driven hbase rest-apis cross-discipline it's paa onboarding dbteam sexperience proactivity … refactoring
1793235487,Senior Data Engineer,Aplazame,"Madrid, Community of Madrid, Spain",5.0,0, Associate , Full-time , Analyst Engineering , Financial Services,python kafka apis aws gcp cloud etl docker,implementarás inscríbete integrarás definirás specialist aplazame learning backend offline eyad analytics subvencionado startup developer cdo computen analyst ¡ frameworks valhondo aitor urko propondremos squads remote engineer post-mortem molona € sanitas integrando cracks linked flask tomeh coordinaremos visualization incorpore desencadenan desarrollarás laborables desarrollarte scientist relacionales zink pipelines
1794163455,Administrador de Sistemas (Big Data Management),EULEN Flexiplán,"Madrid, Community of Madrid, Spain",3.0,0, Associate , Full-time , Information Technology , Human Resources,spark kafka hadoop cloudera,kerberos valorables hortonworks destacables bdm end-to-end ambari ofrecidas clústeres ﻿ gestion clúster nifi dns proactividad arquitecturas phyton multi-tenant escalabilidad directory appliance flexiplan scripting eulen desarrollarte configurando
1816552422,Programadores Java/Big Data,Grupo INVOIN,"San Sebastián de los Reyes, Community of Madrid, Spain",7.0,0, Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Human Resources,scala spark hive kafka hadoop java,gestionamos 00funciones solventando 00viernes invoin ¡ alcobendas
1801633891,IT PROJECT MANAGER - BIG DATA,KPMG,"Madrid, Community of Madrid, Spain",14.0,0, Mid-Senior level , Full-time , Consulting , Accounting,cloud,background finance – 3-4 multidisciplinares — kpmg “ implantaciones fluída señority ” consumer
1818107900,"Senior Data Analyst, Madrid",Farmacias Trebol,"Madrid, Community of Madrid, Spain",4.0,0, Associate , Full-time , Information Technology , Information Technology and Services Computer Software Human Resources,sql b2b b2c agile kpi,´ valorará bise ingenierías retributivo ad-hoc analyst
